model,threshold,sensitivity,specificity,precision,youden_j,predicted_positive_rate
Random Forest,0.73,0.001886080724254998,0.9999694656488549,0.9090909090909091,0.0018555463731098065,0.00028907810364764007
Random Forest,0.74,0.0003772161448509996,0.9999694656488549,0.6666666666666666,0.00034668179370589414,7.883948281299275e-05
Random Forest,0.75,0.0001886080724254998,0.9999694656488549,0.5,0.0001580737212805161,5.255965520866183e-05
Random Forest,0.76,0.0,1.0,,0.0,0.0
Random Forest,0.77,0.0,1.0,,0.0,0.0
Random Forest,0.78,0.0,1.0,,0.0,0.0
Random Forest,0.79,0.0,1.0,,0.0,0.0
Random Forest,0.8,0.0,1.0,,0.0,0.0
Random Forest,0.81,0.0,1.0,,0.0,0.0
Random Forest,0.8200000000000001,0.0,1.0,,0.0,0.0
Random Forest,0.8300000000000001,0.0,1.0,,0.0,0.0
Random Forest,0.8400000000000001,0.0,1.0,,0.0,0.0
Random Forest,0.85,0.0,1.0,,0.0,0.0
Random Forest,0.86,0.0,1.0,,0.0,0.0
Random Forest,0.87,0.0,1.0,,0.0,0.0
Random Forest,0.88,0.0,1.0,,0.0,0.0
Random Forest,0.89,0.0,1.0,,0.0,0.0
Random Forest,0.9,0.0,1.0,,0.0,0.0
Random Forest,0.91,0.0,1.0,,0.0,0.0
Random Forest,0.92,0.0,1.0,,0.0,0.0
Random Forest,0.93,0.0,1.0,,0.0,0.0
Random Forest,0.9400000000000001,0.0,1.0,,0.0,0.0
Random Forest,0.9500000000000001,0.0,1.0,,0.0,0.0
Random Forest,0.9600000000000001,0.0,1.0,,0.0,0.0
Random Forest,0.97,0.0,1.0,,0.0,0.0
Random Forest,0.98,0.0,1.0,,0.0,0.0
Random Forest,0.99,0.0,1.0,,0.0,0.0
XGBoost,0.01,0.9956620143342135,0.17346564885496182,0.1631940150859404,0.16912766318917538,0.8500998633448965
XGBoost,0.02,0.9828366654092795,0.28940458015267173,0.18295123406944494,0.2722412455619512,0.7485283296541575
XGBoost,0.03,0.9711429649188985,0.36170992366412213,0.19763558899167083,0.33285288858302065,0.6846683485756333
XGBoost,0.04,0.9571859675594115,0.4182290076335878,0.21033653846153846,0.3754149751929994,0.6340796804372963
XGBoost,0.05,0.944172010562052,0.46476335877862596,0.22214333259374305,0.4089353693406781,0.5922159150635972
XGBoost,0.060000000000000005,0.930215013202565,0.5055267175572519,0.2334564044305595,0.4357417307598168,0.5551876379690949
XGBoost,0.06999999999999999,0.9164466239155036,0.5398167938931298,0.24380331159056698,0.45626341780863333,0.5237569641543152
XGBoost,0.08,0.8987174651075066,0.5713282442748091,0.2534035311635822,0.4700457093823158,0.49416587827183855
XGBoost,0.09,0.8849490758204451,0.5992366412213741,0.26334399730594377,0.48418571704181934,0.4682276884263639
XGBoost,0.09999999999999999,0.8685401735194266,0.6218015267175573,0.2710258372079336,0.49034170023698387,0.4465205508251866
XGBoost,0.11,0.8515654470011317,0.644030534351145,0.279168985345947,0.49559598135227656,0.4250236518448439
XGBoost,0.12,0.8317615993964542,0.6650687022900763,0.2867546654528903,0.49683030168653053,0.40415746872700514
XGBoost,0.13,0.8168615616748397,0.6849770992366412,0.2956717640633534,0.5018386609114809,0.3849469147482393
XGBoost,0.14,0.8002640513013957,0.7037862595419847,0.3042885829030407,0.5040503108433803,0.36644591611479027
XGBoost,0.15000000000000002,0.7840437570728027,0.7218015267175573,0.3133102200783841,0.50584528379036,0.34868075265426257
XGBoost,0.16,0.7648057336854017,0.739175572519084,0.32190204016829405,0.5039813062044858,0.33104698833175655
XGBoost,0.17,0.7470765748774048,0.7553893129770992,0.3308553291012362,0.5024658878545041,0.31462209607904973
XGBoost,0.18000000000000002,0.7274613353451528,0.7697099236641222,0.33836301429949994,0.49717125900927495,0.2995637548617681
XGBoost,0.19,0.7067144473783478,0.7833282442748092,0.34556856958406346,0.49004269165315684,0.2849521707137601
XGBoost,0.2,0.6857789513391173,0.796793893129771,0.3533184335827422,0.4825728444688884,0.27044570587616945
XGBoost,0.21000000000000002,0.6686156167483969,0.8092213740458015,0.3619932604921883,0.4778369907941984,0.2573583517292127
XGBoost,0.22,0.6506978498679743,0.8214045801526717,0.37100763522959457,0.472102430020646,0.2443761168926732
XGBoost,0.23,0.6339117314221049,0.8316335877862595,0.3787042253521127,0.4655453192083643,0.2332334699884369
XGBoost,0.24000000000000002,0.6105243304413429,0.8421679389312977,0.3850820842255532,0.4526922693726405,0.22090823084200567
XGBoost,0.25,0.5854394568087514,0.8526412213740459,0.3914249684741488,0.4380806781827973,0.20839903290234416
XGBoost,0.26,0.5665786495662014,0.8619541984732825,0.39920265780730896,0.4285328480394839,0.19775570272259013
XGBoost,0.27,0.5494153149754809,0.8711145038167939,0.40832632464255675,0.4205298187922748,0.18748029012929676
